Name,Title,Department,Education
Ann Abramowitz,Professor of Practice,"Psychology Department, Core","MA, University of Oregon, 1974
PhD, State University of New York at Stony Brook, 1988
BA, University of Rochester, 1970
MA, State University of New York at Stony Brook, 1984"
Eladio Abreu,Senior Lecturer,"Biology Department, Core","PhD, Biochemistry and Molecular Biology, University of Georgia, Athens, GA, 2011"
Christa Acampora,Professor,,"PhD, Emory University, Atlanta, GA, 2005"
Yevgeny Agichtein,Professor,"Computer Science Department, Core
Linguistics Program, Associated","BS, The Cooper Union, 1998
MS, Columbia University, 2000
PhD, Columbia University, 2005"
Timothy Albrecht,Professor and University Organist,"Music Department, Core","BA, Oberlin College, 1973
DMA, University of Rochester, 1978
MM, University of Rochester, 1978
BM, Oberlin College, 1973"
Blake Allison,Assistant Professor,"Economics Department, Core","PhD, Economics, University of California, Irvine, 2015"
Tanine Allison,Associate Professor,"Film and Media Department, Core","PhD, University of Pittsburgh, 2010"
Patrick Allitt,Cahoon Family Professor of American History,"History Department, Core","BA, University of Oxford, 1977
PhD, University of California, Berkeley, 1986
MA, University of California, Berkeley, 1981"
Kadji Amin,Associate Professor,"Women's, Gender and Sexuality Studies Department, Core","PhD, Romance Studies (French), Duke University, Durham, NC, 2009"
John Ammerman,"Professor and Artistic Director, Theater Emory","Theater and Dance Department, Core","BS, Central Michigan University, 1977
MFA, University of Georgia, 1979"
Weihua An,Associate Professor,"Institute for Quantitative Theory and Methods, Core
Sociology Department, Core","PhD, Sociology, Harvard University, Cambridge, MA, 2011"
Carol Anderson,Charles Howard Candler Professor of African American Studies,"African American Studies Department, Chair
African American Studies Department, Core","Ph.D, The Ohio State University, 1995"
Tonio Andrade,Professor,"East Asian Studies, Core
History Department, Core","BA, Reed College, 1992
MA, University of Illinois, Urbana- Champaign, 1994
PhD, Yale University, 2000
MPhil, Yale University, 1998
MA, Yale University, 1997"
Dwight Andrews,Professor,"Music Department, Core","BMEd, University of Michigan, 1973
MA, University of Michigan, 1974
MDiv, Yale University, 1977
PhD, Yale University, 1993"
Rustom Antia,Samuel Candler Dobbs Professor,"Biology Department, Core","PhD, University of Massachusetts, 1990
MA, Indian Institute of Technology, 1983"
Juliette Apkarian,Associate Professor,"Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Chair
Russian and East European Studies, Director of Undergraduate Studies
Russian and East European Studies, Core
Russian and East Asian Languages and Cultures (Chinese, Japanese, Korean, Russian), Core","BA, University of Wisconsin, Madison, 1971
PhD, University of Wisconsin, Madison, 1980
MA, University of Wisconsin, Madison, 1973"
Maria Arbatskaya,Associate Professor,"Economics Department, Core","Diploma, Moscow State University, 1993
PhD, Indiana University, 1999
MA, New Economic School, 1995"
Michal Arbilly,Lecturer,"Institute for Quantitative Theory and Methods, Core
Biology Department, Core",
Linda Armstrong,Senior Lecturer,"Art History Department, Core","BFA, Atlanta College of Art, 1973
MVA, Georgia State University, 1978"
Michelle Armstrong-Partida,Associate Professor,"History Department, Core",
Dorian Arnold,Acting Associate Professor,"Computer Science Department, Core","PhD, Computer Science, University of Wisconsin, 2008"
Sa'ed Atshan,Associate Professor,"Anthropology Department, Core","PhD, Anthropology and Middle Eastern Studies, Harvard University, Cambridge, MA, 2013"
Melvin Ayogu,Professor of Pedagogy,"Economics Department, Core","PhD, Economics, Ohio State University, Columbus, Columbus, OH, 1989"
Valerie  Babb,Acting Professor,"English Department, Core","PhD, English, State University of New York at Buffalo, Buffalo, NY, 1981"
