Name,Title,department,Education
 Behnaam Aazhang,. J.S. Abercrombie Professor of Electrical and Computer Engineering, Director of Rice Center for Neuroengineering,"BS (1981), MS (1983), PhD (1986) University of Illinois"
 Kenneth Abdulah,. Lecturer of Earth, Environmental and Planetary Sciences,BSc (1978) University of the West Indies; PhD (1995) Rice University
 Shaimaa Abouzeid,. Lecturer of Arabic, Environmental and Planetary Sciences,"BA (2006), Pre-MS (2007) Cairo University, Egypt"
 David 2011. Lecturer of BioSciences Abraham,. Lecturer of BioSciences, Environmental and Planetary Sciences,"BFA (2001), Master of City Planning (2004), PhD (2008) Texas Southern University"
 Vitor dos Santos Abreu,. Adjunct Professor of Earth, Environmental and Planetary Sciences,"BA (1984), MS (1990) Federal University of Rio Grande, Porto Alegre, Brazil; PhD (1997) Rice University"
 Michel Achard,. Professor of Linguistics and French Studies, Magister of Sid Richardson College,"BA (1983) University of Aix-en-Provence; MA (1987), PhD (1993) University of California–San Diego"
 Darin Acosta,. Professor of Physics and Astronomy, Magister of Sid Richardson College,"BS (1987) California Institute of Technology; MS (1989), PhD (1993) University of California - San Diego"
 Wade Adams,. Associate Research Professor of Materials Science and Nanoengineering, Magister of Sid Richardson College,PhD (1984) University of Massachusetts: Amherst
 Pulickel M. Ajayan,. Benjamin M. and Mary Greenwood Anderson Professor in Engineering and Professor of Materials Science and NanoEngineering, Chemistry,"BTech (1985) Banaras Hindu University, India; PhD (1989) Northwestern University"
 Caroline Ajo-Franklin,.  Professor of BioSciences, Chemistry,BS (1997) Emory University; PhD (2004) Stanford University
 Jonathan Ajo-Franklin,. Professor of Earth, Environmental and Planetary Sciences,BA (1998) Rice; MS (2003); PhD (2005) Stanford University
 John Edward Akin,. Professor of Mechanical Engineering and Computational and Applied Mathematics, Environmental and Planetary Sciences,BS (1964) Tennessee Polytechnic Institute; MS (1966) Tennessee Technological University; PhD (1968) Virginia Polytechnic Institute
